sigla|iata|nombre|municipio|departamento|categoria|latitud|longitud|propietario|explotador|longitud_pista|ancho_pista|pbmo|orientacion|elevacion|resolucion|fecha_construccion|fecha_vigencia|clase|tipo|numero_vuelos_origen|gcd_departamento|gcd_municipio
MDA||INGENIO INCAUCA (C.A)|Miranda|Cauca|Aeródromo|3.2687|-76.3337|INGENIO DEL CAUCA S.A.|INCAUCA.S.A. - ASOCAÑA|250|10|500||3314| 2955,000||2015-08-05|1A|Fumigación|99|19|19455
MDE|MDE|JOSE M. CORDOVA|Rionegro|Antioquia|Internacional|6.1645|-75.423|AEROCIVIL|EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte)|3500|45|||6980|  605,000|||4E|Aerocivil|208122| 5| 5615
MDR||PIEDRA ÑI|Mitú|Vaupés|Aeródromo|-0.1089|-70.3272|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|420|10|5000||500| 3423,000|||1A|Público|1521|97|97001
MED|MND|MEDINA|Medina|Cundinamarca|Aeródromo|4.4841|-73.345|MUNICIPIO|MUNICIPIO|1060|15|5000||1500| 3660,000|||2A|Público|950|25|25438
MFR|MFB|MONFORT|Mitú|Vaupés|Aeródromo|0.625|-69.7494|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|620|20|12202||650| 3423,000|||1A|Público|798|97|97001
MFS|MFS|MIRAFLORES|Miraflores|Guaviare|Aeródromo|1.3377|-71.9507|MUNICIPIO|MUNICIPIO|1320|25|25000||730|   21,000|1957-01-30||3B|Público|4188|95|95200
MGN|MGN|BARACOA|Magangué|Bolívar|Aeródromo|9.2849|-74.8465|AEROCIVIL|AEROCIVIL|1410|20|33112||195|  352,000|1968-05-17||2B|Aerocivil|560|13|13430
MGO||SAN GERARDO|Mitú|Vaupés|Aeródromo|0.7697|-70.2847|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|410|15|1650||540| 3423,000|||1A|Público|205|97|97001
MGP||MAGUI PAYAN|Magüí|Nariño|Aeródromo|1.7742|-78.1914|MUNICIPIO|EL MUNICIPIO|680|10|5000||213| 4006,000|||1A|Público|1|52|52427
MGU||SAN MIGUEL|Mitú|Vaupés|Aeródromo|-0.0039|-70.4972|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|540|15|1650||650| 3423,000|||1A|Público|709|97|97001
MIB||BELEN DE INAMBU|Mitú|Vaupés|Aeródromo|0.4708|-70.1847|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|460|10|1650||650| 3423,000|||1A|Público|180|97|97001
MIC||IBACABA|Mitú|Vaupés|Aeródromo|0.9703|-69.213|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|440|15|1650||600|   45,000|||1A|Público|134|97|97001
MII||MANI|Maní|Casanare|Aeródromo|||||||||||||||20|85|85139
MIN||DUMACITA|Maní|Casanare|Aeródromo|||||||||||||||7|85|85139
MIS||SANTA ISABEL|Mitú|Vaupés|Aeródromo|-0.1178|-70.1931|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|330|10|1650||465| 3423,000|||1A|Público|486|97|97001
MIT||WACARICUARA|Mitú|Vaupés|Aeródromo|0.2|-70.225|MUNICIPIO|MUNICIPIO|850|25|12202||500|  984,000|||1A|Público|2113|97|97001
MKA||KAMANAOS|Mitú|Vaupés|Aeródromo|1.7261|-69.8453|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|400|15|1650||670| 3423,000|||1B|Público|856|97|97001
MLG||JERONIMO DE AGUAYO|Málaga|Santander|Aeródromo|6.7059|-72.7304|MUNICIPIO|MUNICIPIO|1000|16|5670||6705|   11,000|||2A|Público|9876|68|68432
MLR||TOLEMAIDA|Melgar|Tolima|Aeródromo|||||||||||||||3950|73|73449
MMP|MVP|SAN BERNARDO|Mompós|Bolívar|Aeródromo|9.2583|-74.4383|AEROCIVIL|AEROCIVIL|1175|14|16300||72|  352,000|1968-05-17||2A|Aerocivil|924|13|13468
MNI||YARUMITOS|Maní|Casanare|Aeródromo|||||||||||||||10|85|85139
MNO||LA GLORIA|Aguazul|Casanare|Aeródromo|5.0064|-72.3561|CARMEN SEDANO|PERENCO COLOMBIA LIMITED|540|18|5000||630| 6967,000|||1A|Privado|1540|85|85010
MOC||MONTELIBANO|Agustín Codazzi|Cesar|Aeródromo|||||||||||||||1|20|20013
MOQ||MOSQUERA|Mosquera|Nariño|Aeródromo|||||||||||||||5|52|52473
MOY||MONTERREY|Monterrey|Casanare|Aeródromo|||||||||||||||1|85|85162
MPI||PIRACUARA|Mitú|Vaupés|Aeródromo|-0.6703|-69.6514|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|540|10|12202||640| 3423,000|||1A|Público|863|97|97001
MPU||PACU|Mitú|Vaupés|Aeródromo|1.6308|-70.3639|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|540|10|1650||700| 3423,000|||1A|Público|242|97|97001
MQU|MQU|JOSE CELESTINO|San Sebastián de Mariquita|Tolima|Regional|5.2126|-74.8837|AEROCIVIL|AEROCIVIL|1790|45|||1531|   51,000|1968-01-24||2A|Aerocivil|1428|73|73443
MRF||LAGOS DEL DORADO|Miraflores|Guaviare|Aeródromo|||||||||||||||3|95|95200
MRI||MURINDO|Murindó|Antioquia|Aeródromo|6.9762|-76.8125|ALCALDIA|ALCALDIA|670|10|3500||23|||2013-12-12|1A|Público|481| 5| 5475
MSA||SAN ANTONIO|Mitú|Vaupés|Aeródromo|0.6797|-70.4375|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|340|10|1650||610| 3423,000|||1A|Público|331|97|97001
MSI||SANTA LUCIA|Mitú|Vaupés|Aeródromo|1.3825|-70.0067|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|415|15|3000||1020| 3423,000|||1A|Público|186|97|97001
MSN||SAN PABLO|Mitú|Vaupés|Aeródromo|||||||||||||||86|97|97001
MSO||SONAÑA|Mitú|Vaupés|Aeródromo|0.1308|-70.5792|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|700|15|5000||680| 3423,000|||1A|Público|657|97|97001
MSR||SANTA RITA|Mitú|Vaupés|Aeródromo|1.6528|-70.4097|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|400|10|1650||700| 3423,000|||1A|Público|237|97|97001
MTA||MUTATA|Mutatá|Antioquia|Aeródromo|7.2505|-76.4442|ALCALDIA|ALCALDIA|795|10|6000||397| 3660,000|||1A|Público|25| 5| 5480
MTB|MTB|EL PINDO|Montelíbano|Córdoba|Regional|7.9733|-75.4413|AEROCIVIL|AEROCIVIL|1100|26|12202||160| 3107,000|1981-04-08||2C|Aerocivil|1863|23|23466
MTC||PAPUNAGUA - PUERTO. SOLANO|Mitú|Vaupés|Aeródromo|1.9073|-70.7622|RESGUARDO INDIGENA|GOBERNACION DEL VAUPES|650|15|5000||492| 2994,000|||1A|Público|676|97|97001
